modelo,cuantil,pinball_promedio,cobertura_promedio,wape_promedio,bias_promedio
catboost_dos_lags_p10,0.1,2.5914453097316956,0.1671875,0.1841307565061674,-0.1604649914557541
catboost_6_lags_p10,0.1,2.609910924800621,0.1828125,0.17374553967651152,-0.14699539818278767
catboost_4_lags_p10,0.1,2.689619494820969,0.18125,0.17516159168598766,-0.1466012904051821
catboost_6_lags_p50,0.5,5.549025679681495,0.515625,0.1193843466110189,-0.0013541649215378282
catboost_4_lags_p50,0.5,5.642579167353825,0.503125,0.12140517006988075,-0.0028061372295936264
catboost_dos_lags_p50,0.5,5.833191275078882,0.5046875,0.12551422439758803,-0.006712416129493863
catboost_6_lags_p90,0.9,2.776078353453529,0.81875,0.17593916650127403,0.14528302005483756
catboost_4_lags_p90,0.9,2.8120200924671868,0.825,0.17332361671463237,0.14105500265679172
catboost_dos_lags_p90,0.9,2.9080444460914867,0.8234375,0.18161707130786714,0.14882613559941915
