modelo,semana_validacion,cuantil,mae,wape,bias,pinball_loss,cobertura,ventas_reales,ventas_predichas,n_observaciones
catboost_dos_lags_p10,2024-03-04,0.1,15.051435459663725,0.16368039648924054,-0.13769079643430512,2.461106009987034,0.18125,14713.0,12687.15531206207,160
catboost_dos_lags_p50,2024-03-04,0.5,11.194384288087974,0.12173598083967076,0.001476943689977881,5.597192144043987,0.5125,14713.0,14734.730272510644,160
catboost_dos_lags_p90,2024-03-04,0.9,16.21189880516021,0.17630012973735024,0.15083481369436097,2.5578678678672713,0.8375,14713.0,16932.232613885135,160
catboost_dos_lags_p10,2024-03-11,0.1,17.448261720685487,0.18733873810962812,-0.1601736108210269,2.7568629892053855,0.2,14902.0,12515.092851545056,160
catboost_dos_lags_p50,2024-03-11,0.5,12.384878917799512,0.13297413950126974,-0.013932165458282188,6.192439458899756,0.53125,14902.0,14694.38287034068,160
catboost_dos_lags_p90,2024-03-11,0.9,16.2960974996618,0.17496816534330212,0.13110015600000902,3.263912438050565,0.8,14902.0,16855.654524712132,160
catboost_dos_lags_p10,2024-03-18,0.1,18.34299412702945,0.1964443815478388,-0.17989046137699696,2.4525883310838865,0.125,14940.0,12252.436507027665,160
catboost_dos_lags_p50,2024-03-18,0.5,10.971783329963198,0.11750236497952554,-0.019643024837603114,5.485891664981599,0.425,14940.0,14646.533208926208,160
catboost_dos_lags_p90,2024-03-18,0.9,17.348326597238803,0.18579198497712238,0.15656027455672064,2.8266370439258823,0.81875,14940.0,17279.010501877405,160
catboost_dos_lags_p10,2024-03-25,0.1,17.639252271613863,0.1890595098779621,-0.16410509719068747,2.695223908650476,0.1625,14928.0,12478.239109137417,160
catboost_dos_lags_p50,2024-03-25,0.5,12.114483664780366,0.12984441226988602,0.00524858208793197,6.057241832390183,0.55,14928.0,15006.350833408647,160
catboost_dos_lags_p90,2024-03-25,0.9,17.671766882705636,0.18940800517369386,0.15680929814658603,2.983760434522229,0.8375,14928.0,17268.849202732235,160
catboost_4_lags_p10,2024-03-04,0.1,14.822648604708215,0.16119239969777166,-0.1289884528422467,2.666806535684169,0.19375,14713.0,12815.192893332023,160
catboost_4_lags_p50,2024-03-04,0.5,10.70990824529245,0.11646743147194943,0.013050166431822269,5.354954122646225,0.50625,14713.0,14905.007098711401,160
catboost_4_lags_p90,2024-03-04,0.9,15.581641361682108,0.16944624603202182,0.14905431534237404,2.3082303267601803,0.85625,14713.0,16906.03614163235,160
catboost_4_lags_p10,2024-03-11,0.1,16.61290051390064,0.17836962033445863,-0.1458604739106807,2.8724183014079108,0.2,14902.0,12728.387217783036,160
catboost_4_lags_p50,2024-03-11,0.5,11.604445089287655,0.1245947667619128,-0.007410116332983245,5.802222544643827,0.53125,14902.0,14791.574446405884,160
catboost_4_lags_p90,2024-03-11,0.9,16.122102377649412,0.17310001210736184,0.12524656238523413,3.394990507162807,0.76875,14902.0,16768.424272664757,160
catboost_4_lags_p10,2024-03-18,0.1,17.238745783169907,0.1846184287354207,-0.16587125737343697,2.424081428687083,0.125,14940.0,12461.883414840851,160
catboost_4_lags_p50,2024-03-18,0.5,11.172168590979846,0.11964839187127009,-0.015650584161378336,5.586084295489923,0.44375,14940.0,14706.180272629008,160
catboost_4_lags_p90,2024-03-18,0.9,16.605131709447846,0.17783273584415366,0.14770295283378335,2.7858605663821145,0.85,14940.0,17146.682115336724,160
catboost_4_lags_p10,2024-03-25,0.1,16.46427014718876,0.17646591797629968,-0.14568497749436402,2.7951717135047143,0.20625,14928.0,12753.214655964135,160
catboost_4_lags_p50,2024-03-25,0.5,11.65411141327065,0.12491009017439067,-0.0012140148558351946,5.827055706635325,0.53125,14928.0,14909.877186232094,160
catboost_4_lags_p90,2024-03-25,0.9,16.133013619236767,0.17291547287499212,0.14221618006577538,2.7589989695636454,0.825,14928.0,17051.003136021896,160
catboost_6_lags_p10,2024-03-04,0.1,14.799837198793645,0.16094433166634833,-0.13578950888536243,2.40524098882098,0.19375,14713.0,12715.128955769662,160
catboost_6_lags_p50,2024-03-04,0.5,10.273976018395473,0.11172678331701731,0.011145130714229238,5.1369880091977365,0.5375,14713.0,14876.978308198453,160
catboost_6_lags_p90,2024-03-04,0.9,15.846817478010232,0.17232996645698614,0.150813474154212,2.3761121259278113,0.84375,14713.0,16931.918645230922,160
catboost_6_lags_p10,2024-03-11,0.1,16.56124961388042,0.17781505423573127,-0.1512493844534692,2.6458289891262146,0.175,14902.0,12648.081672874403,160
catboost_6_lags_p50,2024-03-11,0.5,11.835075374735986,0.12707100120505688,-0.003401253974814625,5.917537687367993,0.525,14902.0,14851.314513267313,160
catboost_6_lags_p90,2024-03-11,0.9,16.606882927773107,0.178305010632378,0.13722934317886012,3.190962283758118,0.7875,14902.0,16946.991672051372,160
catboost_6_lags_p10,2024-03-18,0.1,16.7558501886028,0.17944685610284122,-0.15887819440845152,2.443824533145734,0.15625,14940.0,12566.359775537734,160
catboost_6_lags_p50,2024-03-18,0.5,10.89273532222054,0.11665579997023336,-0.017866966765665543,5.44636766111027,0.44375,14940.0,14673.067516520956,160
catboost_6_lags_p90,2024-03-18,0.9,16.44218373836477,0.17608764378436162,0.14665931722407577,2.7433663708631526,0.84375,14940.0,17131.090199327693,160
catboost_6_lags_p10,2024-03-25,0.1,16.493193028214982,0.17677591670112522,-0.14206450498386755,2.9447491881095558,0.20625,14928.0,12807.261069600825,160
catboost_6_lags_p50,2024-03-25,0.5,11.390418722099962,0.12208380195176809,0.004706430340099617,5.695209361049981,0.55625,14928.0,14998.257592117006,160
catboost_6_lags_p90,2024-03-25,0.9,16.517276410756853,0.17703404513137033,0.14642994566220238,2.7938726332650345,0.8,14928.0,17113.906228845357,160
naive_lag_1,2024-03-04,0.5,11.3625,0.12356419492965405,0.010059131380411881,5.68125,0.525,14713.0,14861.0,160
media_movil_2,2024-03-04,0.5,10.64375,0.11574797797865832,0.01182627608237613,5.321875,0.48125,14713.0,14887.0,160
media_movil_4,2024-03-04,0.5,9.9625,0.10833956365119282,0.010229049140216136,4.98125,0.5125,14713.0,14863.5,160
naive_lag_1,2024-03-11,0.5,11.94375,0.12823782042678836,-0.012682861360891156,5.971875,0.525,14902.0,14713.0,160
media_movil_2,2024-03-11,0.5,11.69375,0.1255536169641659,-0.007717084955039592,5.846875,0.54375,14902.0,14787.0,160
media_movil_4,2024-03-11,0.5,10.9921875,0.11802107099718159,-0.004378606898402899,5.49609375,0.5125,14902.0,14836.75,160
naive_lag_1,2024-03-18,0.5,12.0375,0.12891566265060242,-0.0025435073627844713,6.01875,0.5,14940.0,14902.0,160
media_movil_2,2024-03-18,0.5,10.496875,0.11241633199464525,-0.008868808567603748,5.2484375,0.46875,14940.0,14807.5,160
media_movil_4,2024-03-18,0.5,10.8359375,0.1160475234270415,-0.006208165997322624,5.41796875,0.49375,14940.0,14847.25,160
naive_lag_1,2024-03-25,0.5,13.5125,0.14482851018220794,0.0008038585209003215,6.75625,0.5125,14928.0,14940.0,160
media_movil_2,2024-03-25,0.5,12.0625,0.12928724544480172,-0.00046891747052518756,6.03125,0.5375,14928.0,14921.0,160
